Date of Download: 2023-02-19_18:09:25,,,,,,,,,,,,,,,,,,,,,,,,
Search Parameters: metadata,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
studyDbId,studyName,studyDescription,trialType,breedingProgramDbId,breedingProgramName,breedingProgramDescription,studyYear,studyDesign,locationDbId,locationName,plantingDate,harvestDate,plotWidth,plotLength,plantsPerPlot,numberBlocks,numberReps,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,folderDbId,folderName,folderDescription,managementFactors
10466,202201BCMUL_ciat,202201BCMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-March-16,,2.4,4,10,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10467,202202BCMUL_ciat,202202BCMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-March-16,,2.4,4,10,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10565,202203PDMUL_ciat,202203PDMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-March-16,,2.4,4,10,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10468,202204DVMUL_ciat,202204DVMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,41,"CIAT. Valle, Colombia",2022-March-24,,2.4,4,10,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10469,202205BCMUL_ciat,202205BCMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-March-16,,2.4,4,10,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10470,202206DVGN6_ciat,202206DVGN6_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,41,"CIAT. Valle, Colombia",2022-March-31,,2.4,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10471,202207CQQU1_ciat,202207CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-March-31,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10472,202208CQMUL_ciat,202208CQMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-March-31,,6,8,50,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10481,202209CQQU1_ciat,202209CQQU1_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-April-28,,1.2,9.6,12,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10998,2022102DVPRG_stom,2022102DVPRG_stom,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-September-26,,5,4,25,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11183,2022103CQF1C_repe,2022103CQF1C_repe,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,56,"Repelon. Atlantico, Colombia",2022-September-20,,1.3,4.8,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11184,2022104DMF1C_repe,2022104DMF1C_repe,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,56,"Repelon. Atlantico, Colombia",2022-September-20,,1.3,4.8,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11181,2022106CQEPR_stom,2022106CQEPR_stom,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-September-26,,1.6,4.8,,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11180,2022107CQEPR_saha,2022107CQEPR_saha,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,61,"Sahagun. Cordoba, Colombia",2022-September-26,,2.6,3.5,,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11215,2022108LAF1C_saha,2022108LAF1C_saha,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,61,"Sahagun. Cordoba, Colombia",2022-September-21,,1.3,4.2,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11216,2022109BCF1C_cere,2022109BCF1C_cere,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,64,"Cerete. Cordoba, Colombia",2022-September-23,,1.2,4.2,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10671,202210DMAYT_dona,"202210DMAYT_dona
Population from Hawaii",Advanced Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,472,Dong Nai,2022-August-17,,5,3.2,20,3,3,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
11120,2022110DMEAR_laog,2022110DMEAR_laog; IITA clones and CIAT elite selections,Advanced Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,518,Lao Ngam,2022-April-06,2022-November-17,4,5,20,3,3,,no,no,10610,Vietnam_2022,, No ManagementFactor: 
11182,2022111DVGST_ciat,2022111DVGST_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,41,"CIAT. Valle, Colombia",2022-September-05,,1.2,1.6,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11185,2022112CQQU1_ciat,2022112CQQU1_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-November-28,,1.2,9.6,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11186,2022113CQQU1_ciat,2022113CQQU1_ciat,Specialty Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-December-21,,1.2,9.6,,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11257,2022117LAPRC_saha,2022117LAPRC_saha,Uniform Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,41,"CIAT. Valle, Colombia",2022-August-17,,5.2,3.5,,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10518,202211LAPRC_momi,202211LAPRC_momi,Uniform Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,127,"Momil. Cordoba, Colombia",2022-April-26,,5.2,3.5,25,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10771,202212LAPRC_repe,202212LAPRC_repe,Uniform Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,56,"Repelon. Atlantico, Colombia",2022-June-17,,6.5,4,25,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10707,202213LAPRC_stom,202213LAPRC_stom,Uniform Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,52,"Santo Tomas. Atlantico, Colombia",2022-June-17,,5,4,25,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10644,202214DVCOB_ciat,202214DVCOB_ciat,Clonal Evaluation,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-May-05,,2.4,4,10,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10645,202215DVMUL_ciat,202215DVMUL_ciat,Seed Multiplication,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,Augmented,41,"CIAT. Valle, Colombia",2022-May-05,,7.2,8,60,1,1,,no,no,9835,CIAT_2022,, No ManagementFactor: 
11244,202216DVPAR_ciat,202216DVPAR_ciat,crossing_block_trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,greenhouse,41,"CIAT. Valle, Colombia",2022-May-12,,4,7.5,varies,3,3,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10540,202217DVPRG_momi,202217DVPRG_momi,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,127,"Momil. Cordoba, Colombia",2022-May-19,,2.6,3.5,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
10781,202218DVPRG_repe,202218DVPRG_repe,Preliminary Yield Trial,174,CIAT,"CIAT cassava breeding, Cali, Colombia",2022,RCBD,56,"Repelon. Atlantico, Colombia",2022-May-08,,2.6,4,10,2,2,,no,no,9835,CIAT_2022,, No ManagementFactor: 
